City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Viedma,AR,-40.8135,-62.9967,59.13,47,100,10.27,overcast clouds
79,Bluff,NZ,-46.6,168.3333,51.8,79,17,17.29,few clouds
80,Awbari,LY,26.5921,12.7805,73.08,30,0,11.32,clear sky
81,Launceston,AU,-41.45,147.1667,54.81,94,100,6.91,overcast clouds
82,Vredendal,ZA,-31.6683,18.5012,56.44,77,0,5.3,clear sky
83,Majene,ID,-3.5403,118.9707,78.55,89,96,3.53,overcast clouds
84,Airai,TL,-8.9266,125.4092,58.75,92,92,0.76,overcast clouds
85,Bombay,IN,19.0144,72.8479,85.98,79,40,9.22,haze
86,Razdolnoye,RU,43.55,131.9167,46.81,88,100,1.01,overcast clouds
87,Alyangula,AU,-13.8483,136.4192,77.67,80,20,9.89,few clouds
88,Sao Filipe,CV,14.8961,-24.4956,73.42,80,100,12.3,overcast clouds
89,Nikolskoye,RU,59.7035,30.7861,49.8,97,100,3.91,overcast clouds
90,Igarka,RU,67.4667,86.5833,33.37,99,100,5.39,overcast clouds
91,Saint-Pierre,RE,-21.3393,55.4781,76.68,69,100,5.75,overcast clouds
92,San Patricio,US,28.017,-97.5169,92.12,49,4,18.28,clear sky
93,Ribeira Grande,PT,38.5167,-28.7,61.2,59,20,10.36,few clouds
94,Lengshuitan,CN,26.4111,111.5956,64.18,97,100,3.49,overcast clouds
95,Tagusao,PH,9.1924,117.8141,80.35,85,46,4.68,scattered clouds
96,Hambantota,LK,6.1241,81.1185,80.49,83,95,19.19,overcast clouds
97,Kapaa,US,22.0752,-159.319,80.58,80,75,14.97,broken clouds
98,Klaksvik,FO,62.2266,-6.589,41.92,79,100,24.81,overcast clouds
99,Yokadouma,CM,3.5167,15.05,67.55,98,80,1.03,broken clouds
100,Cidreira,BR,-30.1811,-50.2056,63.72,77,44,14.83,scattered clouds
101,Nadym,RU,65.5333,72.5167,35.55,100,100,5.23,overcast clouds
102,Qaanaaq,GL,77.484,-69.3632,17.6,77,5,4.99,clear sky
103,Mayya,RU,61.7333,130.2811,29.32,85,15,2.84,few clouds
104,Ostrovnoy,RU,68.0531,39.5131,43.39,73,100,14.56,overcast clouds
105,Doha,QA,25.2867,51.5333,87.78,16,0,9.22,clear sky
106,Esperance,AU,-33.8667,121.9,64.98,47,100,6.42,overcast clouds
107,Mayo,US,38.8876,-76.5119,71.76,62,100,11.5,overcast clouds
108,Kalmunai,LK,7.4167,81.8167,80.51,65,90,4.76,overcast clouds
109,Kahului,US,20.8947,-156.47,84.22,58,40,19.57,scattered clouds
110,Slupca,PL,52.2873,17.8719,69.21,77,35,9.15,scattered clouds
111,Flin Flon,CA,54.7682,-101.865,54.01,41,98,6.73,overcast clouds
112,Guerrero Negro,MX,27.9769,-114.0611,67.19,50,89,25.59,overcast clouds
113,Virginia Beach,US,36.8529,-75.978,61.05,91,100,17.27,light intensity drizzle
114,Aklavik,CA,68.2191,-135.0107,38.77,66,13,11.72,few clouds
115,Alta Floresta,BR,-9.8756,-56.0861,82.31,70,89,5.19,overcast clouds
116,Thompson,CA,55.7435,-97.8558,56.19,61,85,9.31,overcast clouds
117,Brokopondo,SR,4.75,-55.1667,82.13,77,35,9.82,scattered clouds
118,Lumberton,US,34.6182,-79.0086,81.32,22,0,14.97,clear sky
119,Sint-Gillis-Waas,BE,51.228,4.1206,68.05,68,46,1.01,scattered clouds
120,Berlevag,NO,70.8578,29.0864,37.35,93,100,23.02,light rain
121,Hilo,US,19.7297,-155.09,82.27,72,40,6.91,scattered clouds
