City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1,Bethel,US,83.35,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
6,Busselton,AU,60.4,overcast clouds,-33.65,115.3333,Observatory Guest House
10,Touros,BR,81.86,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
12,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
13,Sao Borja,BR,71.94,overcast clouds,-28.6606,-56.0044,Hotel Executivo
14,Port Elizabeth,ZA,64.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
16,Atuona,PF,78.12,broken clouds,-9.8,-139.0333,Villa Enata
17,Esfahan,IR,64.04,broken clouds,32.6572,51.6776,Abbasi Hotel
19,Inhambane,MZ,67.98,clear sky,-23.865,35.3833,Oceano
20,Port-Gentil,GA,82.36,thunderstorm,-0.7193,8.7815,Fengshui Residence
22,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
23,Ribeira Grande,PT,61.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
24,Isangel,VU,72.97,overcast clouds,-19.55,169.2667,Tanna Lodge
27,Ghanzi,BW,65.73,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
33,Lorengau,PG,81.03,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
34,Tukrah,LY,64.11,clear sky,32.5341,20.5791,Lagrota restaurant
35,Coquimbo,CL,60.53,scattered clouds,-29.9533,-71.3436,Hotel San Juan
36,Sechura,PE,78.33,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
45,Vanimo,PG,77.43,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
46,Laguna,US,77.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
49,Razole,IN,81.28,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
52,Kasulu,TZ,65.35,overcast clouds,-4.5767,30.1025,Nazaret lodge
53,Sagone,FR,68.47,overcast clouds,42.1155,8.6969,Camping Sagone
54,Quatre Cocos,MU,73.51,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
55,Jalu,LY,75.74,broken clouds,29.0331,21.5482,صاحبة الفخامة
59,Kavieng,PG,81.39,broken clouds,-2.5744,150.7967,Nusa Island Retreat
60,Bengkulu,ID,77.7,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
62,Fortuna,US,60.1,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
63,Rikitea,PF,77.81,overcast clouds,-23.1203,-134.9692,People ThankYou
67,Hami,CN,60.87,clear sky,42.8,93.45,Laoyutang Resort
69,Hithadhoo,MV,82.74,overcast clouds,-0.6,73.0833,Scoop Guest House
71,Ixtapa,MX,81.63,scattered clouds,20.7,-105.2,hotel la terminal
73,Chuy,UY,64.17,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
74,Shimoda,JP,68.11,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
75,Katsuura,JP,69.82,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
76,Koumac,NC,73.67,overcast clouds,-20.5667,164.2833,Le Monitel
77,Ravar,IR,71.38,clear sky,31.2656,56.8055,computertik
78,Castro,BR,70.59,clear sky,-24.7911,-50.0119,CHACARA BAILLY
80,Vao,NC,73.0,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
85,Padang,ID,77.14,overcast clouds,-0.9492,100.3543,Mercure Padang
90,Jamestown,US,80.06,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
91,Faanui,PF,81.54,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
93,North Platte,US,75.11,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
94,Hilo,US,82.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
95,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
96,Sakakah,SA,81.19,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
97,Butaritari,KI,80.4,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
99,Saint-Joseph,RE,68.38,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
102,Saint George,US,82.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
103,Kumanovo,MK,66.7,scattered clouds,42.1322,21.7144,Harmony Hotel
104,Cape Town,ZA,60.89,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
106,Los Andes,CL,71.01,clear sky,-32.8337,-70.5983,Hotel Los Andes
107,Pisco,PE,69.85,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
108,Hasaki,JP,70.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
111,East London,ZA,62.94,scattered clouds,-33.0153,27.9116,Tu Casa
112,Umuarama,BR,72.99,clear sky,-23.7664,-53.325,Hotel Caiuá
113,Carnarvon,AU,65.91,clear sky,-24.8667,113.6333,Hospitality Carnarvon
115,Vaitape,PF,81.57,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
116,Marsh Harbour,BS,78.48,light rain,26.5412,-77.0636,Abaco Beach Resort
117,Eyl,SO,84.36,overcast clouds,7.9803,49.8164,Amiin Hotel
118,Yulara,AU,64.94,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
119,Luganville,VU,77.88,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
120,Guerrero Negro,MX,78.35,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
122,Santa Marinella,IT,66.49,scattered clouds,42.0345,11.8536,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
123,Mercedes,AR,67.78,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
124,Prado,BR,78.33,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
125,Sabang,ID,83.37,overcast clouds,5.8933,95.3214,Hotel Citra
135,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
137,Libertador General San Martin,AR,75.97,clear sky,-23.8064,-64.7876,Posada del Sol
138,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
144,Colchester,GB,63.52,overcast clouds,51.8892,0.9042,North Hill Hotel
148,Port Lincoln,AU,64.4,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
149,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
151,Mogadishu,SO,81.23,overcast clouds,2.0371,45.3438,Hotel Juba
152,Sao Filipe,CV,75.7,clear sky,14.8961,-24.4956,Hotel Xaguate
153,Lexington,US,84.72,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
155,Asau,RO,61.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
161,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
162,Araguaina,BR,80.8,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
163,Praia Da Vitoria,PT,63.75,light rain,38.7333,-27.0667,Hotel Branco I
164,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
167,Kota Tinggi,MY,84.29,scattered clouds,1.7381,103.8999,Canopy Tribe
169,Omboue,GA,78.71,overcast clouds,-1.5746,9.2618,Hotel Olako
171,Luau,AO,70.75,broken clouds,-10.7073,22.2247,Casa- Bernardo Cândido
177,Amuntai,ID,74.1,overcast clouds,-2.4177,115.2494,Hotel Balqis
180,Kroya,ID,80.17,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
181,Kruisfontein,ZA,61.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
183,Villazon,BO,61.16,clear sky,-22.0866,-65.5942,La Candelaria
184,Meulaboh,ID,78.19,broken clouds,4.1363,96.1285,Kost Pria
186,Cedar City,US,70.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
188,Buin,CL,71.87,clear sky,-33.7333,-70.75,Paihuen
189,Kimbe,PG,74.73,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
190,Gouyave,GD,79.57,broken clouds,12.1646,-61.7296,Rumboat Retreat
191,Ginda,IN,64.09,clear sky,30.6945,78.4932,Sunil Bisht
192,Tautira,PF,80.74,broken clouds,-17.7333,-149.15,Pension Oaoa
193,Mattru,SL,78.57,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
194,Maryville,US,82.27,light rain,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
195,Cidreira,BR,65.37,few clouds,-30.1811,-50.2056,Hotel Castelo
196,La Plata,AR,68.04,overcast clouds,-34.9215,-57.9545,Hotel Corregidor
198,Itoman,JP,75.58,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
199,Auki,SB,76.82,overcast clouds,-8.7676,160.7034,Auki Motel
200,Samarai,PG,81.41,overcast clouds,-10.6167,150.6667,Nuli Sapi
201,Rabo De Peixe,PT,63.91,light rain,37.8,-25.5833,Quinta das Giestas
202,Muros,ES,73.69,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
204,Pimentel,PE,75.49,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
206,Balabac,PH,80.87,scattered clouds,7.9868,117.0645,Batalla’s Lodging House
211,Russell,US,78.96,scattered clouds,32.3502,-85.1999,Macs
215,Eureka,US,60.37,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
216,Karratha,AU,74.3,clear sky,-20.7377,116.8463,ibis Styles Karratha
217,Beyneu,KZ,62.26,overcast clouds,45.3167,55.2,NUR
218,Ambulu,ID,76.96,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
219,Dhidhdhoo,MV,83.35,overcast clouds,6.8833,73.1,Dhidhoo beach
220,Saint-Philippe,RE,69.39,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
221,Ponta Do Sol,PT,72.01,clear sky,32.6667,-17.1,Hotel do Campo
222,Codrington,AU,61.63,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
223,Alofi,NU,75.97,overcast clouds,-19.0595,-169.9187,Taloa Heights
224,Guilin,CN,68.11,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
229,Bull Savanna,JM,77.74,overcast clouds,17.8868,-77.5902,Big Red's
230,Abu Kamal,SY,76.03,clear sky,34.4506,40.9171,البوكمال
232,Apiai,BR,66.34,clear sky,-24.5094,-48.8425,Pousada Villa Branca
234,Okitipupa,NG,78.1,scattered clouds,6.5047,4.7839,Coastal Hotel & Suites
235,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
236,Tripoli,LY,67.03,clear sky,32.8752,13.1875,Al Waddan Hotel
237,Saint Anthony,US,74.93,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
238,Lae,PG,76.82,broken clouds,-6.7221,146.9847,Phils Hotel
239,Valparaiso,CL,70.03,clear sky,-33.0393,-71.6273,Hotel Ultramar
242,Ballina,AU,69.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
243,Dingle,PH,78.01,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
244,Toyota,JP,67.62,moderate rain,35.0833,137.15,Meitetsu Toyota Hotel
248,Forestville,US,72.93,overcast clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
251,La Macarena,CO,81.19,broken clouds,2.1837,-73.7849,Hotel Punto Verde
252,Awjilah,LY,73.53,few clouds,29.1081,21.2869,المنزل
253,Cairns,AU,71.55,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
254,Skotina,GR,64.22,overcast clouds,40.0147,22.5515,San Panteleimon Hotel
258,Mareeba,AU,66.92,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
259,Taybad,IR,61.34,overcast clouds,34.74,60.7756,لی پوش jean center
260,Palmer,US,84.58,few clouds,42.1584,-72.3287,Wedgewood Motel
261,Valdosta,US,81.7,scattered clouds,30.8327,-83.2785,Courtyard by Marriott Valdosta
265,San Jose,US,77.83,smoke,37.3394,-121.895,The Westin San Jose
268,Naze,JP,71.42,light rain,28.3667,129.4833,Shishime Hotel
269,Faya,SA,73.92,clear sky,18.3851,42.4509,املاك خالد الشعشوع
272,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
273,Bonthe,SL,81.32,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
274,Tazmalt,DZ,72.41,clear sky,36.3868,4.3989,Hôtel Numédia
275,Winneba,GH,82.67,clear sky,5.3511,-0.6231,Windy Lodge & Beach Resort
276,Grandview,US,84.81,clear sky,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
277,Grand Gaube,MU,73.8,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
278,Kailua,US,80.58,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
279,Hurghada,EG,78.53,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
280,Amalapuram,IN,81.34,clear sky,16.5833,82.0167,swayamprabha service apartments
282,Yabrud,SY,64.85,scattered clouds,33.9674,36.6574,صالة افراح الاندلس
287,Madang,PG,76.06,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
290,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
291,Kushima,JP,68.85,moderate rain,31.4583,131.2333,Hanaoka
296,Half Moon Bay,US,77.59,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
297,Mahibadhoo,MV,82.54,light rain,3.7833,72.9667,Omadhoo Inn
298,Karambakkudi,IN,78.94,overcast clouds,10.4667,79.1333,Chendur Muruga Lodge
299,Kaseda,JP,68.16,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
301,Kalmunai,LK,81.23,overcast clouds,7.4167,81.8167,VS Villa
305,Shelburne,CA,81.36,clear sky,44.0787,-80.2041,The Retreat at the Farm
308,Hit,IQ,77.34,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
310,Komsomolskiy,UZ,68.31,broken clouds,40.4272,71.7189,Ikathouse
311,Belmonte,BR,79.39,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
312,Victoria,HK,77.95,light rain,22.2855,114.1577,Mini Central
314,Oyama,JP,65.32,light rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
316,Saquarema,BR,77.04,scattered clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
320,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
321,Iracoubo,GF,81.9,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
322,Lala,PH,76.51,overcast clouds,7.9745,123.7458,Serawomfamily
323,Guhagar,IN,81.7,scattered clouds,17.4842,73.1929,Hotel Seawinds
326,Bourail,NC,70.39,overcast clouds,-21.5667,165.4833,Motel Allamanda
327,Korla,CN,68.92,overcast clouds,41.7597,86.1469,Gulisitan Hotel
329,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
334,Huarmey,PE,70.27,scattered clouds,-10.0681,-78.1522,Hotel Miramar
335,Pacific Grove,US,74.88,clear sky,36.6177,-121.9166,Lovers Point Inn
336,Kavaratti,IN,84.56,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
339,May Pen,JM,81.61,overcast clouds,17.9645,-77.2451,Mus Com Bac
340,Eydhafushi,MV,82.83,overcast clouds,5.1033,73.0708,Soneva Fushi
341,Mae Sai,TH,73.85,clear sky,20.4335,99.8762,Piyaporn Hill Paradise Hotel
342,Kalabo,ZM,66.49,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
343,Mangaluru,IN,81.46,broken clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
344,Svodna,BA,65.28,overcast clouds,45.0372,16.5383,Basrakovo Brdo
345,Sinnamary,GF,82.13,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
346,Antalaha,MG,71.89,clear sky,-14.9003,50.2788,Hotel Vitasoa
348,Camocim,BR,79.65,heavy intensity rain,-2.9022,-40.8411,Ilha Praia Hotel
349,Marawi,PH,70.41,overcast clouds,7.9986,124.2928,Derogongan Residence
351,Port Hawkesbury,CA,66.88,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
352,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
353,Mwingi,KE,69.82,few clouds,-0.9344,38.0601,Thorn Tree by The Address
356,Tarakan,ID,78.31,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
360,Ukiah,US,73.44,few clouds,39.1502,-123.2078,Hampton Inn Ukiah
361,Namibe,AO,72.64,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
362,Nouadhibou,MR,73.49,overcast clouds,20.931,-17.0347,El Medina
363,San Vicente,AR,73.47,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
364,Cockburn Town,TC,79.07,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
367,Caravelas,BR,79.02,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
368,Saint-Pierre,RE,69.91,clear sky,-21.3393,55.4781,Alize Plage
369,Les Cayes,HT,81.61,overcast clouds,18.2,-73.75,Villa Orphee
378,Mao,ES,66.76,clear sky,39.8885,4.2658,ARTIEM Capri
379,Kirakira,SB,78.31,scattered clouds,-10.4544,161.9205,SanBiz Lodge
382,Huambo,AO,64.62,broken clouds,-12.7761,15.7392,SiSHotel
386,Manono,CD,72.59,overcast clouds,-7.3,27.4167,Hotel hewa bora
387,Mongo,TD,84.58,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
388,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Base Lodging
389,Manado,ID,77.77,light rain,1.487,124.8455,Aryaduta Hotel
391,Mbanza-Ngungu,CD,70.61,broken clouds,-5.25,14.8667,Hotel Full Business
392,Arnedo,ES,72.9,clear sky,42.2167,-2.1,Hotel Virrey
393,Mersing,MY,78.71,few clouds,2.4312,103.8405,Timotel Hotel
395,Hornepayne,CA,83.5,scattered clouds,49.2138,-84.7705,Kay-Vee Lodge Ltd
396,Nantucket,US,69.94,overcast clouds,41.2835,-70.0995,Jared Coffin House
397,Noumea,NC,75.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
399,Energeticheskiy,KZ,61.36,broken clouds,43.4278,77.0222,Gomoradiatsionnaya Elektrostantsiya
400,Namatanai,PG,78.37,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
403,Constitucion,CL,60.55,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
404,Zhezkazgan,KZ,60.3,broken clouds,47.8043,67.7144,Hotel Zumrat
406,Roma,US,84.38,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
407,Nakhon Ratchasima,TH,79.84,few clouds,15.0,102.1667,U-Sabai Park Hotel & Resort
409,Scalea,IT,63.25,clear sky,39.813,15.7956,Grand Hotel de Rose
410,Nara,JP,67.5,light rain,34.6851,135.8049,Guesthouse Nara Komachi
412,Hukuntsi,BW,64.51,clear sky,-24.0,21.75,Entabeni Hotel
414,Roberval,CA,70.43,overcast clouds,48.5168,-72.2324,Hôtel Château Roberval
415,Kapoeta,SS,84.96,broken clouds,4.7717,33.5903,Eastgate Hotel
418,Tawau,MY,75.33,light rain,4.2498,117.8871,Shervinton Executive Boutique Hotel
419,Antofagasta,CL,61.88,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
420,Taltal,CL,64.38,few clouds,-25.4,-70.4833,Residencial Karime
421,Batemans Bay,AU,62.1,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
426,Gizo,SB,81.09,few clouds,-8.103,156.8419,Imagination Island
427,Lenoir City,US,82.49,scattered clouds,35.7973,-84.256,"Holiday Inn Express & Suites Lenoir City (Knoxville Area), an IHG Hotel"
430,Pachino,IT,65.75,scattered clouds,36.7186,15.0907,Il Veliero
431,Lashio,MM,67.46,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
432,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
433,Moose Factory,CA,64.4,few clouds,51.2585,-80.6094,Moosonee Lilypad
434,Simao,CN,63.84,few clouds,22.7886,100.9748,Changyu Hotel
435,Slave Lake,CA,64.38,broken clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
439,Lagoa,PT,60.22,overcast clouds,39.05,-27.9833,Casa Das Faias
443,Vila Do Maio,CV,81.39,clear sky,15.1333,-23.2167,Hotel Marilu
444,Atambua,ID,72.95,broken clouds,-9.1061,124.8925,Kost Alfa Flat
449,Lubumbashi,CD,64.62,broken clouds,-11.6609,27.4794,Glo Flats
451,Velagici,BA,64.0,scattered clouds,44.5572,16.7317,Sobe LANE
452,Tura,IN,71.26,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
455,Palmerston,AU,75.18,overcast clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
457,Loa Janan,ID,73.83,light rain,-0.583,117.095,Ss
458,Ortigueira,BR,72.52,clear sky,-24.2083,-50.9494,Village das Araucárias
459,Yenagoa,NG,78.69,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
460,Japura,ID,76.33,broken clouds,-0.3167,102.35,Rumah mbah Jamah
461,Kabompo,ZM,64.09,clear sky,-13.5927,24.2008,Big Tree
463,Sarkand,KZ,60.87,overcast clouds,45.41,79.9186,Гостиница Сарканд
465,Puerto Palomas,MX,84.87,clear sky,31.7667,-107.6167,Hotel San Carlos
466,Qiongshan,CN,76.98,clear sky,20.0058,110.3542,Sun City Restaurant
467,Gladstone,AU,66.13,few clouds,-23.85,151.25,Highpoint International Hotel
468,Kapuskasing,CA,73.49,broken clouds,49.4169,-82.4331,Park Inn Motel
470,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
471,Selma,US,76.17,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
478,Lamu,KE,80.82,scattered clouds,-2.2717,40.902,Lamu House
480,Aku,NG,78.08,clear sky,6.7081,7.3167,Diewa Hotel And Resort
481,La Asuncion,VE,82.27,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
484,Ilhabela,BR,70.9,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
