City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Urumqi,CN,43.801,87.6005,61.75,27,0,2.24,clear sky
80,Jeremoabo,BR,-10.075,-38.4808,85.23,40,99,12.46,overcast clouds
81,Kununurra,AU,-15.7667,128.7333,67.98,94,24,0.0,few clouds
82,Qaanaaq,GL,77.484,-69.3632,19.22,75,67,0.6,broken clouds
83,Bambous Virieux,MU,-20.3428,57.7575,70.21,73,31,11.86,scattered clouds
84,Mendi,PG,-6.1761,143.6513,53.76,97,89,3.56,overcast clouds
85,Saint-Philippe,RE,-21.3585,55.7679,67.59,69,1,5.79,clear sky
86,Atuona,PF,-9.8,-139.0333,78.75,67,84,20.31,broken clouds
87,Sibolga,ID,1.7427,98.7792,76.98,86,42,3.53,scattered clouds
88,Desnogorsk,RU,54.1508,33.2815,46.29,87,56,8.59,broken clouds
89,East Wenatchee Bench,US,47.4257,-120.2812,58.59,33,0,5.99,clear sky
90,Hailey,US,43.5196,-114.3153,53.46,36,40,12.66,scattered clouds
91,Bathsheba,BB,13.2167,-59.5167,84.81,70,20,19.57,few clouds
92,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,40,6.91,scattered clouds
93,Saskylakh,RU,71.9167,114.0833,2.32,100,83,4.56,broken clouds
94,Kinkala,CG,-4.3614,14.7644,72.27,96,62,3.04,broken clouds
95,Sovetskaya,RU,44.7769,41.1722,48.97,77,0,6.06,clear sky
96,Mehamn,NO,71.0357,27.8492,35.51,82,100,18.34,overcast clouds
97,Bluff,NZ,-46.6,168.3333,52.81,91,85,11.63,moderate rain
98,Ratnagiri,IN,16.9833,73.3,83.52,76,88,7.43,overcast clouds
99,Bengkulu,ID,-3.8004,102.2655,77.5,89,22,4.09,few clouds
100,Coolum Beach,AU,-26.5333,153.1,72.1,100,100,15.9,light rain
101,Cape Town,ZA,-33.9258,18.4232,60.12,89,74,1.99,broken clouds
102,Sao Filipe,CV,14.8961,-24.4956,75.13,70,7,9.78,clear sky
